Published_time,news_content,news_headline
2023-04-18 06:00:00,18/04: Đọc gì trước giờ giao dịch chứng khoán?: Cùng điểm lại những tin tức tài chính kinh tế trong nước và quốc tế đáng chú ý diễn ra trong 24h qua trước giờ giao dịch hôm nay. ,18/04: Đọc gì trước giờ giao dịch chứng khoán?
2023-04-17 15:00:00,"ACBS SMART: Công cụ quản lý danh mục đầu tư ‘đắc lực’: Các nền tảng giao dịch chứng khoán ngày nay liên tục được nâng cấp công nghệ, tăng cường tính trải nghiệm đầu tư và mang lại lợi ích trực tiếp cho...",ACBS SMART: Công cụ quản lý danh mục đầu tư ‘đắc lực’
2023-04-17 06:00:00,17/04: Đọc gì trước giờ giao dịch chứng khoán?: Điểm lại những tin tức đáng chú ý trong những ngày cuối tuần vừa qua.,17/04: Đọc gì trước giờ giao dịch chứng khoán?
2023-04-15 08:23:00,"REE Energy định thời gian nhận chuyển nhượng cổ phần SP2: Tại ĐHĐCĐ thường niên 2023 ngày 08/04, bên cạnh kế hoạch kinh doanh năm nay, ĐHĐCĐ CTCP Thủy điện Sử Pán 2 (UPCoM: SP2) còn thông qua thay đổi nhân...",REE Energy định thời gian nhận chuyển nhượng cổ phần SP2
2023-04-14 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 14/04: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 14/04
2023-04-13 16:55:00,"Thua lỗ 3 năm liền, cổ phiếu MCG bị hủy niêm yết: Theo thông báo của Sở Giao dịch Chứng khoán TPHCM (HOSE), 57.5 triệu cp MCG của CTCP Năng lượng và Bất động sản MCG sẽ bị hủy niêm yết từ ngày...","Thua lỗ 3 năm liền, cổ phiếu MCG bị hủy niêm yết"
2023-04-13 07:07:00,"Lợi nhuận 2022 của TTC Group chỉ bằng phân nửa cùng kỳ: Theo bản công bố thông tin tài chính định kỳ gửi tới Sở Giao dịch Chứng khoán Hà Nội (HNX), CTCP Đầu tư Thành Thành Công (TTC Group hay Tập đoàn TTC)...",Lợi nhuận 2022 của TTC Group chỉ bằng phân nửa cùng kỳ
2023-04-12 15:45:00,"Nhịp đập Thị trường 12/04: Sau một ngày giằng co, VN-Index trở về “mo”: Kết thúc phiên giao dịch, VN-Index giảm chỉ 0.01 điểm, đạt 1,069.45 điểm; HNX-Index giảm 0.4 điểm (-0.19%), xuống còn 211.94 điểm. Độ rộng toàn thị...","Nhịp đập Thị trường 12/04: Sau một ngày giằng co, VN-Index trở về “mo”"
2023-04-11 20:00:00,"Thị trường chứng quyền 12/04/2023: Tốt xấu đan xen: Kết thúc phiên giao dịch ngày 11/04/2023, toàn thị trường có 20 mã tăng, 25 mã giảm và 16 mã tham chiếu. Khối ngoại quay lại mua ròng với tổng mức...",Thị trường chứng quyền 12/04/2023: Tốt xấu đan xen
2023-04-11 14:38:00,"Cổ phiếu HBC vào diện kiểm soát vì chậm nộp BCTC: Theo quyết định ngày 10/04 của Sở Giao dịch Chứng khoán TPHCM (HOSE), cổ phiếu của CTCP Tập đoàn Xây dựng Hòa Bình (HOSE: HBC) sẽ bị đưa vào diện...",Cổ phiếu HBC vào diện kiểm soát vì chậm nộp BCTC
2023-04-10 18:54:00,"Theo dấu dòng tiền cá mập 10/04: Tự doanh và khối ngoại tiếp tục bán ròng: Phiên 10/04, tự doanh công ty chứng khoán và khối ngoại tiếp tục giao dịch cùng chiều bán ròng. Trong đó, khối ngoại bán ròng hơn 295 tỷ đồng, còn tự...",Theo dấu dòng tiền cá mập 10/04: Tự doanh và khối ngoại tiếp tục bán ròng
2023-04-10 11:02:00,"Nên mua hay bán DHC, HPG và GVR?: Các công ty chứng khoán (CTCK) khuyến nghị trung lập DHC do lượng đơn đặt hàng xuất khẩu từ các khách hàng chính vẫn chưa phục hồi; trung lập với HPG...","Nên mua hay bán DHC, HPG và GVR?"
2023-04-09 10:39:00,Cổ phiếu nào hỗ trợ đà tăng cho VN-Index trong tuần qua?: Hai chỉ số thị trường trong tuần 03-07/04/2023 đã tiếp tục tăng điểm trong bối cảnh Ngân hàng Nhà nước giảm lãi suất điều hành và Nghị quyết 33 của...,Cổ phiếu nào hỗ trợ đà tăng cho VN-Index trong tuần qua?
2023-04-07 14:05:00,Cổ phiếu HAI sắp bị hủy niêm yết bắt buộc: Sở Giao dịch Chứng khoán TPHCM (HOSE) đã gửi văn bản đến CTCP Nông dược H.A.I (HOSE: HAI) thông báo về việc hủy niêm yết bắt buộc đối với cổ phiếu...,Cổ phiếu HAI sắp bị hủy niêm yết bắt buộc
2023-04-06 19:30:00,Chứng khoán phái sinh Ngày 07/04/2023: Tâm lý chốt lời đang hiện diện: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 06/04/2023. Basis hợp đồng VN30F2304 gần như không đổi so với phiên trước đó và...,Chứng khoán phái sinh Ngày 07/04/2023: Tâm lý chốt lời đang hiện diện
2023-04-06 10:12:00,"Định giá cổ phiếu ngân hàng đang rất hấp dẫn, đây là cơ hội vàng để tích sản?: Thị trường chứng khoán đang ở thời khắc nhiều nhà đầu tư tìm kiếm cơ hội sau một chu kỳ dài hàng loạt cổ phiếu giảm sâu do chịu tác động bởi những sự...","Định giá cổ phiếu ngân hàng đang rất hấp dẫn, đây là cơ hội vàng để tích sản?"
